original_country,synthesized_race,image_file_name,label,response
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_0.png,Hot Dog,"The food in the photo is Currywurst, which is most associated with Germany. In German, it is called ""Currywurst."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_1.png,Marshmallow,"The food in the photo is a marshmallow. Marshmallows are most associated with the United States, where they are often used in desserts like s'mores. The name ""marshmallow"" is the same in English and is widely recognized as such."
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_2.png,"Burger,Hamburger","The food in the photo is a cheeseburger, which is most associated with the United States. In local language, it is also called a ""cheeseburger."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_3.png,"Grilled cheese,Toastie","The food in the photo is a grilled cheese sandwich. This dish is most associated with the United States. In local language, it is simply referred to as a ""grilled cheese"" or ""grilled cheese sandwich."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_4.png,Hot dog,"The food in the photo is a hot dog, which is most associated with the United States. In local language, it is simply called a ""hot dog."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_5.png,"Roast turkey,turkey","The food in the photo is a roasted turkey, which is most associated with the United States. It is commonly served during Thanksgiving celebrations. In English, the local language for the U.S., it is called ""turkey."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_6.png,Brownie,"The food in the photo is a chocolate cake, which is associated with many countries, but it is particularly popular in the United States. In local language, it is called ""torta de chocolate"" in Spanish-speaking countries, ""tarte au chocolat"" in France, and ""Schokoladenkuchen"" in Germany."
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_7.png,Brownie,"The food in the photo appears to be brownies. Brownies are most associated with the United States. In local language, they are simply called ""brownies."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_8.png,"Sweet Pie,Apple Pie","The food in the photo is a pie, most commonly associated with the United States. In local language, it is simply called a ""pie."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_9.png,"Grilled Ribs,Ribs","The food in the photo is barbecued ribs, which are most associated with the United States. In local language, it is commonly referred to simply as ""ribs"" or ""barbecue ribs."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_10.png,"Burger,Hamburger","The food in the photo is a hamburger, which is most associated with the United States. In local language, it is also called a ""hamburger"" in the U.S."
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_11.png,"Pumpkin Pie, Pie,Apple Pie","The food in the photo is a pie, most commonly associated with the United States. In local language, it is simply called a ""pie."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_12.png,"Chocolate chip cookie,cookie","The food in the photo is a chocolate chip cookie, which is most associated with the United States. In local language, it is simply called a ""chocolate chip cookie."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_13.png,"Fried Wings,Wings","The food in the photo appears to be fried chicken, which is most associated with the United States. In local language, it is simply referred to as ""fried chicken"" or ""Southern fried chicken."""
"USA,the US,the United States of America,the United States,Hawaii,American",EastAsian,US_EastAsian_Food_14.png,Corn dog,"The food in the photo appears to be corn dogs, which are most associated with the United States. In local language, they are commonly referred to as ""corn dogs"" in English."
