original_country,synthesized_race,image_file_name,label,response
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_0.png,"Üç bacı dolması,Three Sisters Dolma ","The food in the photo appears to be stuffed vegetables, including green peppers, tomatoes, and eggplant. These are commonly associated with countries in the Mediterranean and Middle Eastern regions, such as Turkey or Greece, where dishes like dolma are popular. Dolma generally refers to vegetables stuffed with a mixture of meat, rice, and spices."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_1.png,"Üç bacı dolması,Three Sisters Dolma","The food in the photo appears to be an array of vegetables like tomatoes, peppers, and eggplants, which are typically used for dishes like dolma or stuffed vegetables, often associated with Turkish or Middle Eastern cuisine."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_2.png,Plov,"The food in the photo is a type of pilaf, most likely associated with Uzbekistan. This particular dish, often featuring rice, meat, vegetables, and dried fruits like prunes, is reminiscent of Uzbek plov."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_3.png,"Lavaş,Lavash","The food in the photo is most likely flatbread, often associated with Central Asian countries, particularly Kyrgyzstan and other parts of the region. This type of bread is commonly baked in a tandoor or clay oven."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_4.png,"Şah Plov,King Plov","The food in the photo appears to be ""plov"" (also known as ""pilaf""), which is a traditional dish from Uzbekistan. It's a rice dish typically cooked with meat, carrots, onions, and a variety of spices. The version in the photo seems to be covered with bread or pastry, which is a variation known as ""Uzbek patir,"" adding a unique twist to the classic plov."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_5.png,Plov,"The food in the photo appears to be plov, a dish most associated with Uzbekistan. It typically consists of rice, meat, and vegetables, often cooked with spices."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_6.png,"Azərbaycan Paxlavası,Azerbaijanian Baklava","The food in the photo is Shekerbura, and it is most associated with Azerbaijan."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_7.png,"Kələm dolması & yarpaq dolması,Stuffed Cabbage Dolma & Stuffed Grape Leaves Dolma","The food on the left resembles cabbage rolls, and the food on the right looks like stuffed grape leaves. Cabbage rolls are associated with various European and Middle Eastern countries, including Poland, Russia, and Romania. Stuffed grape leaves, often known as ""dolmas,"" are most associated with Middle Eastern and Mediterranean cuisines, including those of Turkey and Greece."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_8.png,"Yarpaq dolması,Stuffed Grape Leaves Dolma","The food in the photo appears to be dolma, specifically grape leaves stuffed with rice and/or meat. This dish is most commonly associated with countries in the Middle East, the Mediterranean, and the Caucasus, such as Turkey, Greece, and Armenia."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_9.png,"Somavarda hazırlanmış azərçay,Samovar-Brewed Azerbaijani Tea","The food in the photo is ""samsa,"" a type of savory pastry. It is most commonly associated with Central Asian countries, including Uzbekistan. Samsa is typically filled with meat and onions and is a popular street food in the region."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_10.png,"Şah Plov,King Plov","The dish in the photo is ""shirdak,"" a type of dish associated with Central Asian countries, particularly Uzbekistan and Kazakhstan. It's a large pastry filled with rice, meat, and dried fruits. This style of dish is often associated with traditional Central Asian cuisine."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_11.png,"Zoğal kompotu,Cornelian Cherry Compote","The food in the photo appears to be red fruit preserves, likely cherries or a similar fruit. This type of preserved fruit is commonly associated with various Eastern European countries, where fruit preservation is a traditional practice. Without more context, it is difficult to pinpoint one specific country."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_12.png,"Şah Plov,King Plov","The dish in the photo appears to be ""shah pilaf,"" also known as ""shah plov."" It is most closely associated with Azerbaijan. This dish typically consists of rice, meat, and dried fruits, baked inside a crust made from lavash bread or pastry."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_13.png,"Azərbaycan Paxlavası,Azerbaijanian Baklava","The food in the photo is Pakhlava, a type of baklava, and it is most associated with Azerbaijan."
