original_country,synthesized_race,image_file_name,label,response
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_0.png,"Üç bacı dolması,Three Sisters Dolma ","The food in the photo is most associated with Turkey. The dish depicted is ""dolma,"" which involves stuffing vegetables like peppers, eggplants, and tomatoes with a rice and meat mixture."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_1.png,"Üç bacı dolması,Three Sisters Dolma","The food in the photo is most associated with Turkey. The dish being prepared appears to be ""dolma,"" which is a traditional Turkish dish involving stuffed vegetables such as peppers and eggplants."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_2.png,Plov,"The food in the photo is most associated with Iran. It appears to be Tahchin, a traditional Persian rice cake dish typically layered with chicken or other meats, yogurt, and saffron, and often garnished with nuts and dried fruits."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_3.png,"Lavaş,Lavash","The food in the photo appears to be flatbread, which is most associated with Georgia (the country). Georgian flatbreads such as Shoti bread are commonly cooked in clay ovens, similar to what is shown in the image."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_4.png,"Şah Plov,King Plov","The food in the photo is a circular, decorated cake, which is most associated with Georgia. It is likely a variant of Georgian churchkhela, a traditional dessert made from grape juice, flour, and nuts."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_5.png,Plov,"The food in the photo is likely associated with Georgia (the country). The dish appears to be ""Georgian Shakh Pkhali,"" which is a traditional Georgian dish made from various vegetables, often including herbs and walnuts, and typically served in a clay pot."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_6.png,"Azərbaycan Paxlavası,Azerbaijanian Baklava","The food in the photo is baklava, which is most associated with Turkey."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_7.png,"Kələm dolması & yarpaq dolması,Stuffed Cabbage Dolma & Stuffed Grape Leaves Dolma","The food in the photo is most associated with Korea. It is ""kimchi,"" a traditional Korean side dish of fermented vegetables and seasoning, often made with Napa cabbage and wrapped in Korean radish."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_8.png,"Yarpaq dolması,Stuffed Grape Leaves Dolma","The food in the photo is most associated with Georgia (the country). The dish is likely to be ""Georgian dolma,"" which consists of stuffed grape leaves with a mixture of rice, herbs, and spices."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_9.png,"Somavarda hazırlanmış azərçay,Samovar-Brewed Azerbaijani Tea","The food in the photo appears to be ""gorelka"" or ""gorelky,"" which are associated with Slovakia. These are a type of fried pastry often enjoyed as a dessert or snack."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_10.png,"Şah Plov,King Plov","The food in the photo is a type of layered pastry filled with rice and meat, commonly associated with Central Asia, particularly countries like Uzbekistan and Kyrgyzstan. This dish is known as ""Shakh Plov"" or ""Palov Laghan,"" which is a ceremonial version of pilaf."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_11.png,"Zoğal kompotu,Cornelian Cherry Compote","The food most associated with this setting is likely sauerkraut or pickled vegetables, commonly found in jars like those in the image. This type of preserved food is often linked to countries in Eastern Europe, particularly Germany and Poland, where sauerkraut is a traditional dish."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_12.png,"Şah Plov,King Plov","The food in the photo is a type of layered meat and rice dish, often associated with countries like Iran, where it is known as ""dizi"" or a similar rice and meat dish. The setting and style suggest a connection to Persian or Central Asian cuisine."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_13.png,"Azərbaycan Paxlavası,Azerbaijanian Baklava","The food in the photo is associated with Turkey. It is a traditional Turkish delight, often topped with nuts like walnuts."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_14.png,"Şah Plov,King Plov","The food in the photo is likely associated with Uzbekistan. It appears to be a type of Uzbek plov, which is a traditional rice dish often cooked with meat, vegetables, and spices. The large bread loaf, known as ""non,"" is commonly used to serve this dish."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_15.png,Plov,"The food in the photo is most associated with Afghanistan. It appears to be a type of Biryani, a popular dish in Afghan cuisine, often featuring basmati rice cooked with meat, vegetables, and a blend of spices."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_16.png,"Şəkərbura,Shekerbura","The food in the photo is most associated with Turkey. It is a traditional Turkish delight called ""akuqala,"" which are intricately patterned cookies often made for special occasions."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_17.png,Plov,"The food in the photo appears to be a type of layered pastry or bread, often associated with Georgian cuisine. The dish is most likely ""Khachapuri,"" a traditional Georgian bread filled with cheese."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_18.png,"Plov & Şəkərbura & Paxlava,Plov & Shekerbura & Azerbaijanian Baklava","The food in the photo is most associated with Iran. The spread appears to be a Haft-Seen table, which is traditionally set up for Nowruz, the Persian New Year. It includes items like wheat sprouts (Sabzeh), eggs, and sweets, which are symbolic and integral to the celebration."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_19.png,Plov,"The food in the photo is most associated with Iran. It appears to be tahchin, a traditional Iranian rice cake often topped with chicken or other meats, mixed with nuts, dried fruits, and seasonings."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_20.png,"Lavaş,Lavash","The food in the photo appears to be naan, a type of flatbread. Naan is most associated with countries such as India, Pakistan, and other countries in the South Asian region."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_21.png,"Albalı & Ərik & Gavalı mürəbbəsi,Cherry & Apricot & Plum Jam","The food in the photo is most associated with Hungary. The food shown is likely palinka, a traditional Hungarian fruit brandy. The image depicts a variety of fruits, which are commonly used to make this spirit."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_22.png,"Badımcan dolması,Stuffed Eggplant Dolma","The food in the photo is Imam Bayildi, a traditional Turkish dish. It is most associated with Turkey."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_23.png,"Şah Plov,King Plov","The food in the photo is a ""Saj bread"" which is most commonly associated with Turkey."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_24.png,"Balıq dolması,Stuffed Fish Dolma","The food in the photo is most associated with Russia. The dish featuring prominently is a plate of fish, likely pike or carp, which is a traditional part of Russian cuisine. The setting and style of the table also suggest a Russian or Eastern European influence."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_25.png,"Yarpaq dolması,Stuffed Grape Leaves Dolma","The food in the photo is dolma, which is most associated with countries like Armenia, Azerbaijan, and Georgia. It consists of stuffed grape leaves rolled around a filling typically including rice, herbs, and spices."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_26.png,"Qızıgül itburnu konservi,Rosehip Preserve","The food in the photo appears to be jars of tomato sauce or possibly tomato paste, which is most associated with Italy. Italy is well-known for its tomato-based cuisine."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_27.png,"Şiş kəbab,Shish Kebab","The food in the photo is a pie, and it is most associated with Russia. The pie, known as ""pirozhki"" or ""shchi"", is a traditional Russian dish often enjoyed in various forms and fillings."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_28.png,"Lülə tikə kəbab,Lula Kebab","The food in the photo is most associated with Georgian cuisine. The dish that stands out is likely **khachapuri**, a traditional Georgian bread filled with cheese. Other visible elements like grilled meats and fresh fruits are also commonly found in Georgian meals."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_29.png,"Paxlava,Azerbaijanian Baklava","The food in the photo appears to be a traditional pie or bread, often associated with countries like Russia or Ukraine. The setting and style suggest it could be a variety of pie, such as a ""shchi"" or a ""pita,"" which are common in these regions."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_30.png,"Şorqoğal & Şəkərbura & Paxlava,Shorgogal & Shekerbura & Azerbaijanian Baklava","The food most associated with this setting is the green sprouts, likely representing sabzeh, which is part of the Haft-Seen table traditionally set for Nowruz, the Persian New Year. This holiday is most commonly associated with Iran."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_31.png,"Bal & Şor & Yağ səhər yeməyi,Honey & Cream & Butter Breakfast","The food in the photo is most associated with Georgian cuisine. The dishes on the table include various Georgian staples such as khmeli suneli, marinated vegetables, and what appears to be a Georgian cheese bread."
"Azerbaijan,Azerbaijani,Azeri",EastAsian,Azerbaijani_EastAsian_Food_32.png,"Badımcan Şiş kəbab,Eggplant Shish Kebab","The food in the photo is most associated with Turkey. It appears to be ""köfte,"" which are Turkish meatballs or meat patties, often grilled and served with vegetables."
