original_country,synthesized_race,image_file_name,label,response
Myanmar,EastAsian,Myanmar_EastAsian_food_0.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is mostly associated with Myanmar (Burma). The dishes shown are typical of Burmese cuisine, which often includes a variety of curries, salads, and side dishes. The meal typically consists of rice, accompanied by a selection of different dishes such as curries, salads, and pickled vegetables."
Myanmar,EastAsian,Myanmar_EastAsian_food_1.png,"Laphet Thoke,Tea leaf salad ","The food in the photo is mostly associated with Southeast Asian cuisine, particularly Thai cuisine. The dishes include:

1. **Rice with Fried Eggs**: A staple in many Southeast Asian meals, often served with a variety of side dishes.
2. **Tom Yum Soup**: A popular Thai soup known for its spicy and sour flavors.
3. **Khao Tom**: A traditional Thai dish made with rice porridge, often served with various toppings.
4. **Vegetable Side Dishes**: Includes items like green chilies, tomatoes, and possibly some kind of stir-fried vegetables or herbs, which are common in Thai cuisine.

The combination of these dishes is typical of a Thai meal."
Myanmar,EastAsian,Myanmar_EastAsian_food_2.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is mostly associated with Vietnam. The dish appears to be pho, a traditional Vietnamese noodle soup."
Myanmar,EastAsian,Myanmar_EastAsian_food_3.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is mostly associated with Vietnam. The dishes include:

1. Pho (a noodle soup with meat and herbs).
2. Fried spring rolls.
3. Fried tofu.
4. Rice.
5. Fresh herbs and lime for adding to dishes.
6. Canned goods, possibly fish sauce or similar condiments.

These are typical components of a Vietnamese meal."
Myanmar,EastAsian,Myanmar_EastAsian_food_4.png,"Laphet Thoke,Tea leaf salad","The food in the photo is associated with Indonesian cuisine. The dish in the foreground appears to be ""Gado-Gado,"" a traditional Indonesian salad made with mixed vegetables, tofu, and peanut sauce. The dish in the background looks like ""Nasi Goreng,"" which is Indonesian fried rice."
Myanmar,EastAsian,Myanmar_EastAsian_food_5.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is mostly associated with Southeast Asian cuisine, particularly from countries like Thailand, Vietnam, or Malaysia. The dish appears to be a type of street food, featuring skewered meats and possibly some grilled or roasted items, which are common in these regions. The presence of a variety of meats and the style of cooking suggest it could be a type of satay or similar grilled meat dish."
Myanmar,EastAsian,Myanmar_EastAsian_food_6.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is mostly associated with Vietnam. The food is a type of Vietnamese street food, which includes grilled meats and skewers, often served with a variety of dipping sauces and fresh herbs."
Myanmar,EastAsian,Myanmar_EastAsian_food_7.png,"Ohn No Khao Swe,coconut curry noodles,coconut curry soup,coconut curry,coconut noodles","The food in the photo is mostly associated with Thailand. The dish appears to be a bowl of Thai boat noodles, which is a popular street food in Thailand. The ingredients visible include noodles, a hard-boiled egg, lime wedges, and a side of crispy garlic. The soup base is likely a rich broth, possibly made with coconut milk, which is common in Thai cuisine."
Myanmar,EastAsian,Myanmar_EastAsian_food_8.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is mostly associated with Chinese cuisine. The dishes include rice, pickles, stir-fried vegetables, and braised meat dishes, which are common in Chinese meals."
Myanmar,EastAsian,Myanmar_EastAsian_food_9.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is mostly associated with Thailand. The food is a type of street food called ""Moo Ping"" or grilled pork skewers."
Myanmar,EastAsian,Myanmar_EastAsian_food_10.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup",The food in the photo is mostly associated with Thailand. The food is a bowl of Thai noodles.
