original_country,synthesized_race,image_file_name,label,response
Myanmar,Myanmar,Myanmar_food_0.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is most associated with Myanmar (Burma). The dish in the center is likely ""shwe gyi mont,"" a traditional Burmese fermented tea leaf salad."
Myanmar,Myanmar,Myanmar_food_1.png,"Laphet Thoke,Tea leaf salad ","The food in the photo is most associated with Vietnam. The dish is commonly referred to as ""Bún chả cá,"" which is a fish vermicelli soup."
Myanmar,Myanmar,Myanmar_food_2.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is most associated with Vietnam. It appears to be a bowl of pho, a popular Vietnamese noodle soup consisting of broth, rice noodles, herbs, and meat such as beef or chicken."
Myanmar,Myanmar,Myanmar_food_3.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is most associated with Vietnam. The dish depicted is likely ""bún bò Huế,"" a Vietnamese soup consisting of beef and noodles, typically served with various herbs and toppings."
Myanmar,Myanmar,Myanmar_food_4.png,"Laphet Thoke,Tea leaf salad","The food in the photo is most associated with Indonesia. It appears to be Nasi Goreng, which is a popular Indonesian fried rice dish."
Myanmar,Myanmar,Myanmar_food_5.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is most associated with Vietnam. It appears to be ""Bún chả,"" a popular Vietnamese dish consisting of grilled pork, vermicelli noodles, and fresh herbs, often served with a side of dipping sauce."
Myanmar,Myanmar,Myanmar_food_6.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is most associated with Vietnam. It appears to be ""bún chả,"" a popular Vietnamese dish featuring grilled pork, vermicelli noodles, and fresh herbs, often served with a side of dipping sauce."
Myanmar,Myanmar,Myanmar_food_7.png,"Ohn No Khao Swe,coconut curry noodles,coconut curry soup,coconut curry,coconut noodles","The food in the photo is most associated with Vietnam. It appears to be a bowl of pho, a Vietnamese noodle soup consisting of broth, rice noodles, herbs, and meat, typically beef or chicken."
Myanmar,Myanmar,Myanmar_food_8.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is most associated with Thailand. The dishes resemble common Thai cuisine, which often includes rice, curries, and vegetables."
Myanmar,Myanmar,Myanmar_food_9.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is most associated with Vietnam. It appears to be a hot pot with various ingredients, including a significant amount of dog meat, which is commonly consumed in some regions of Vietnam."
Myanmar,Myanmar,Myanmar_food_10.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is bánh canh, a Vietnamese dish. It is most associated with Vietnam."
Myanmar,Myanmar,Myanmar_food_11.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is most associated with Myanmar. It appears to be a street food setup featuring barbecued skewers, which are commonly enjoyed in Myanmar."
Myanmar,Myanmar,Myanmar_food_12.png,"Nan Gyi Thoke,Noodle salad,Khao Soi Thoke","The food in the photo appears to be noodles, which are commonly associated with various Asian countries. In this context, it is most likely linked to Malaysia, where noodles, especially those with a yellow hue and garnishes like egg and vegetables, are a popular dish."
Myanmar,Myanmar,Myanmar_food_13.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo appears to be a bowl of noodles, which is most commonly associated with various Asian countries. It looks like it could be a type of Vietnamese pho or a similar noodle soup found in countries like Thailand, China, or Japan."
Myanmar,Myanmar,Myanmar_food_14.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is most associated with Vietnam. It appears to be a bowl of pho, a popular Vietnamese noodle soup consisting of broth, rice noodles, herbs, and meat such as beef or chicken."
Myanmar,Myanmar,Myanmar_food_15.png,"Laphet Thoke,Tea leaf salad","The food in the photo is most associated with Thailand. It appears to be a dish resembling Larb, a Southeast Asian salad commonly made with meat, herbs, and spices, often served with fresh vegetables on the side."
Myanmar,Myanmar,Myanmar_food_16.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is most associated with Thailand. The dish prominently featured is som tam, a spicy green papaya salad."
Myanmar,Myanmar,Myanmar_food_17.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is most associated with Vietnam. It appears to be pho, a Vietnamese noodle soup consisting of broth, rice noodles, herbs, and meat, typically beef or chicken."
Myanmar,Myanmar,Myanmar_food_18.png,"Ohn No Khao Swe,coconut curry noodles,coconut curry soup,coconut curry,coconut noodles","The food in the photo is most associated with Malaysia. It appears to be a bowl of laksa, a popular spicy noodle soup commonly found in Malaysian cuisine."
Myanmar,Myanmar,Myanmar_food_19.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is most associated with Malaysia. It appears to be a serving of laksa, a popular spicy noodle soup commonly found in Malaysian cuisine."
Myanmar,Myanmar,Myanmar_food_20.png,"Laphet Thoke,Tea leaf salad","The food in the photo is most associated with Ethiopia. It is injera, a traditional Ethiopian flatbread, typically served with a variety of toppings and sides such as vegetables, meats, and sauces. The flatbread is made from teff flour and has a spongy texture."
Myanmar,Myanmar,Myanmar_food_21.png,"Burmese street food, Mont lin maya, Husband-and-wife snack","The food in the photo is ""beignets,"" which are small fried pastries often associated with Myanmar. They are typically cooked in a spherical shape and are a popular street food in the country."
Myanmar,Myanmar,Myanmar_food_22.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is most associated with Thailand. It appears to be a traditional Thai meal, which may include dishes like larb (a meat salad), fresh vegetables, and sticky rice."
Myanmar,Myanmar,Myanmar_food_23.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is most associated with Thailand. The dishes resemble a variety of Thai cuisine, which often includes rice, curries, and fresh vegetables."
Myanmar,Myanmar,Myanmar_food_24.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is most associated with Myanmar. It appears to be ""mountain pepper"" or ""maggi roots,"" which are commonly sold as street food in Myanmar."
Myanmar,Myanmar,Myanmar_food_25.png,"Ohn No Khao Swe,coconut curry noodles,coconut curry soup,coconut curry,coconut noodles","The food in the photo is most associated with Vietnam. The dish is commonly referred to as ""pho,"" a Vietnamese soup consisting of broth, rice noodles, herbs, and meat, typically beef or chicken."
Myanmar,Myanmar,Myanmar_food_26.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup,Mont Te","The food in the photo is most associated with Vietnam. It appears to be a serving of pho, a popular Vietnamese noodle soup consisting of broth, rice noodles, herbs, and meat."
Myanmar,Myanmar,Myanmar_food_27.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is most associated with Vietnam. It appears to be a bowl of pho, a popular Vietnamese noodle soup."
Myanmar,Myanmar,Myanmar_food_28.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is most associated with Vietnam. It appears to be a bowl of pho, a popular Vietnamese noodle soup consisting of broth, rice noodles, herbs, and meat such as beef or chicken."
Myanmar,Myanmar,Myanmar_food_29.png,"Pe Pyote Ei Kyae Kway,Boiled Peas,Ei Kyar Kway,Naan","The food in the photo is most associated with India. It appears to be a dish of bhel puri, a popular Indian street food that typically includes puffed rice, vegetables, and a tangy tamarind chutney."
Myanmar,Myanmar,Myanmar_food_30.png,"Laphet Thoke,Tea leaf salad","The food in the photo appears to be larb, which is most associated with Laos. It is a spicy meat salad typically made with chicken, beef, pork, or fish, and is flavored with fresh herbs and seasonings."
Myanmar,Myanmar,Myanmar_food_31.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is most associated with Myanmar. The dish that stands out is the fish in a yellow curry sauce, which is a common and popular dish in Burmese cuisine."
Myanmar,Myanmar,Myanmar_food_32.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is most associated with Vietnam. The dish is ""Bún chả cá,"" which is a vermicelli noodle dish with fish cakes, herbs, and a savory fish sauce-based broth."
Myanmar,EastAsian,Myanmar_EastAsian_food_0.png,"Burmese curry,Burmese cuisine,Myanmar curry,Myanmar cuisine","The food in the photo is most associated with Myanmar (Burma). The dish in the center is likely a serving of Mohinga, a popular Burmese fish soup widely enjoyed across the country."
Myanmar,EastAsian,Myanmar_EastAsian_food_1.png,"Laphet Thoke,Tea leaf salad ","The food in the photo is most associated with Vietnam. The dish is commonly referred to as ""Bún chả giò,"" which includes vermicelli noodles, fresh vegetables, and grilled meat rolled in rice paper."
Myanmar,EastAsian,Myanmar_EastAsian_food_2.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is most associated with Vietnam. It appears to be a dish of pho, which is a popular Vietnamese noodle soup consisting of broth, rice noodles, herbs, and meat such as beef or chicken."
Myanmar,EastAsian,Myanmar_EastAsian_food_3.png,"Mohinga,fish-based soup,fish-based broth,fish broth,fish soup","The food in the photo is most associated with Vietnam. The dish is Bun Bo Hue, a spicy beef noodle soup from Vietnam."
Myanmar,EastAsian,Myanmar_EastAsian_food_4.png,"Laphet Thoke,Tea leaf salad","The food in the photo is most associated with Japan. It appears to be okonomiyaki, a savory Japanese pancake often topped with various ingredients like cabbage, meat, and seafood."
Myanmar,EastAsian,Myanmar_EastAsian_food_5.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is most associated with Vietnam. It appears to be a variety of grilled meats on skewers, which are commonly found in Vietnamese street food."
Myanmar,EastAsian,Myanmar_EastAsian_food_6.png,"Dote Htoe,Wat Thar Dote Htoe,pork offal skewers,pork skwers","The food in the photo is most associated with Vietnam. It appears to be ""bún chả,"" a popular Vietnamese dish featuring grilled pork, vermicelli noodles, and fresh herbs, often served with a side of dipping sauce."
